id,player_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,current_tier,offense,defense,playmaking,shooting,rebounding,athleticism,intangibles,durability,badges,archetype,source_file,source_line
anthony-edwards-2025-26,Anthony Edwards (2025-26),Anthony Edwards (2025-26),Minnesota Timberwolves,2025-26,SG,,94,Amethyst,94,89,91,94,86,92,93,89,Elite Shooter;Floor General;Wing Stopper,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,213
david-robinson,David Robinson,David Robinson,San Antonio Spurs,1989-2003,C,PF,94,Amethyst,90,95,59,62,92,91,90,84,Rim Protector;Athletic Freak;Roll Threat,Mobile Defensive Anchor,src/data/players.ts,411
dolph-schayes-nationals,Dolph Schayes (Nationals),Dolph Schayes (Nationals),Philadelphia 76ers,Team-specific historical variant,PF,C,94,Amethyst,,,,,,,,,,,src/data/players.ts,736
george-mikan,George Mikan,George Mikan,Los Angeles Lakers,1946-1956,C,,94,Amethyst,92,84,46,38,95,56,97,86,Interior Force;Glass Cleaner;Champion DNA,Foundational Power Center,src/data/players.ts,396
karl-malone,Karl Malone,Karl Malone,Utah Jazz,1985-2004,PF,C,94,Amethyst,93,78,64,74,88,84,88,97,Iron Man;Pick-and-Roll Threat;Transition Force,Power Finisher,src/data/players.ts,410
moses-malone,Moses Malone,Moses Malone,Philadelphia 76ers,1974-1995,C,PF,94,Amethyst,92,81,50,58,98,79,93,87,Glass Cleaner;Interior Force;Motor,Relentless Glass Eater,src/data/players.ts,404
scottie-pippen,Scottie Pippen,Scottie Pippen,Chicago Bulls,1987-2004,SF,PG;PF,94,Amethyst,86,97,86,75,74,89,96,84,Wing Stopper;Connector;Point Forward,Point Wing Stopper,src/data/players.ts,409
anthony-davis-pelicans,Anthony Davis (Pelicans),Anthony Davis (Pelicans),New Orleans Pelicans,2012-2019,PF,C,93,Amethyst,88,96,60,69,92,90,88,65,Rim Protector;Switchable Big;Vertical Threat,Explosive Mobile Defensive Star,src/data/players.ts,467
billy-cunningham-76ers,Billy Cunningham (76ers),Billy Cunningham (76ers),Philadelphia 76ers,Team-specific historical variant,SF,PF,93,Amethyst,,,,,,,,,,,src/data/players.ts,737
cade-cunningham-2025-26,Cade Cunningham (2025-26),Cade Cunningham (2025-26),Detroit Pistons,2025-26,PG,,93,Amethyst,91,92,93,88,88,92,93,91,Floor General;Wing Stopper;Three-Level Scorer,2025-26 Offensive Engine,src/data/players-current-2026.ts,218
charles-barkley-76ers,Charles Barkley (76ers),Charles Barkley (76ers),Philadelphia 76ers,1984-1992,PF,SF,93,Amethyst,94,73,72,67,91,90,88,84,Transition Force;Glass Cleaner;Paint Pressure,Explosive Undersized Force,src/data/players.ts,405
clyde-drexler-blazers,Clyde Drexler (Blazers),Clyde Drexler (Blazers),Portland Trail Blazers,1983-1995,SG,SF,93,Amethyst,92,80,78,72,70,94,90,87,Transition Force;Athletic Freak;Slasher,Open-Court Wing,src/data/players.ts,426
derrick-rose,Derrick Rose,Derrick Rose,Chicago Bulls,2008-2024,PG,SG,93,Amethyst,94,58,89,75,44,97,93,49,Athletic Freak;Paint Pressure;Shot Creator,MVP Slashing Lead Guard,src/data/players.ts,509
dwayne-wade-10-14,Dwayne Wade ('10 - '14),Dwayne Wade ('10 - '14),Miami Heat,2010-2014,SG,PG,93,Amethyst,92,82,83,75,56,84,94,73,Clutch;Connector;Perimeter Stopper,Big 3 Two-Way Co-Star,src/data/players.ts,408
elgin-baylor,Elgin Baylor,Elgin Baylor,Los Angeles Lakers,1958-1971,SF,PF,93,Amethyst,94,73,77,70,88,91,91,67,Athletic Freak;Three-Level Scorer;Glass From Wing,Aerial Scoring Wing,src/data/players.ts,423
isiah-thomas,Isiah Thomas,Isiah Thomas,Detroit Pistons,1981-1994,PG,SG,93,Amethyst,90,73,94,75,49,85,96,80,Floor General;Clutch;Paint Touch,Competitive Lead Guard,src/data/players.ts,412
jason-kidd,Jason Kidd,Jason Kidd,Brooklyn Nets,1994-2013,PG,SG,93,Amethyst,86,90,97,74,71,81,95,89,Floor General;Point-of-Attack;Triple-Double Machine,Defensive Hall-of-Fame Table Setter,src/data/players.ts,505
john-havlicek,John Havlicek,John Havlicek,Boston Celtics,1962-1978,SF,SG,93,Amethyst,91,87,78,79,68,86,98,95,Wing Stopper;Champion DNA;Motor,Endless-Motor Two-Way Wing,src/data/players.ts,397
john-stockton,John Stockton,John Stockton,Utah Jazz,1984-2003,PG,,93,Amethyst,88,81,97,86,41,70,95,98,Floor General;Elite Shooter;Iron Man,Control Tower Guard,src/data/players.ts,413
julius-erving-nets,Julius Erving (Nets),Julius Erving (Nets),Brooklyn Nets,Team-specific historical variant,SF,SG,93,Amethyst,,,,,,,,,,,src/data/players.ts,738
kawhi-leonard-raptors,Kawhi Leonard (Raptors),Kawhi Leonard (Raptors),Toronto Raptors,2018-2019,SF,SG;PF,93,Amethyst,93,95,76,89,73,82,94,62,Wing Stopper;Clutch;Midrange Assassin,Championship Two-Way Wing,src/data/players.ts,422
kevin-garnett-celtics,Kevin Garnett (Celtics),Kevin Garnett (Celtics),Boston Celtics,2007-2013,PF,C,93,Amethyst,82,98,72,74,85,79,96,81,Switchable Big;Rim Protector;Energy Leader,Defensive Culture Setter,src/data/players.ts,403
nate-thurmond-warriors,Nate Thurmond (Warriors),Nate Thurmond (Warriors),Golden State Warriors,Team-specific historical variant,C,PF,93,Amethyst,,,,,,,,,,,src/data/players.ts,739
paul-arizin-warriors,Paul Arizin (Warriors),Paul Arizin (Warriors),Golden State Warriors,Team-specific historical variant,SF,SG,93,Amethyst,,,,,,,,,,,src/data/players.ts,740
steve-nash,Steve Nash,Steve Nash,Phoenix Suns,1996-2015,PG,,93,Amethyst,94,54,98,92,38,67,93,77,Elite Shooter;Floor General;Tempo Control,Offensive Conductor,src/data/players.ts,420
tracy-mcgrady-magic,Tracy McGrady (Magic),Tracy McGrady (Magic),Orlando Magic,2000-2004,SG,SF;PG,93,Amethyst,96,76,84,84,70,94,88,72,Shot Creator;Three-Level Scorer;Playmaking Wing,Apex Scoring Wing Creator,src/data/players.ts,446
tyrese-maxey-2025-26,Tyrese Maxey (2025-26),Tyrese Maxey (2025-26),Philadelphia 76ers,2025-26,PG,,93,Amethyst,93,91,96,93,82,91,96,94,Elite Shooter;Floor General;Wing Stopper,2025-26 Offensive Engine,src/data/players-current-2026.ts,262
vince-carter-raptors,Vince Carter (Raptors),Vince Carter (Raptors),Toronto Raptors,1998-2004,SG,SF,93,Amethyst,93,74,72,87,68,97,89,89,Athletic Freak;Shot Creator;Transition Force,Explosive Scoring Wing,src/data/players.ts,445
anthony-davis-2025-26,Anthony Davis (2025-26),Anthony Davis (2025-26),Washington Wizards,2025-26,PF,,92,Amethyst,87,87,86,81,90,87,85,76,Paint Pressure,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,333
anthony-davis-lakers,Anthony Davis (Lakers),Anthony Davis (Lakers),Los Angeles Lakers,2019-Present,PF,C,92,Amethyst,87,95,58,68,90,86,89,63,Rim Protector;Switchable Big;Vertical Threat,Two-Way Championship Big,src/data/players.ts,468
arvydas-sabonis-blazers,Arvydas Sabonis (Blazers),Arvydas Sabonis (Blazers),Portland Trail Blazers,Team-specific historical variant,C,PF,92,Amethyst,,,,,,,,,,,src/data/players.ts,741
bill-walton,Bill Walton,Bill Walton,Portland Trail Blazers,1974-1988,C,PF,92,Amethyst,86,95,83,58,92,78,97,40,Rim Protector;Connector;Champion DNA,Playmaking Defensive Center,src/data/players.ts,551
bob-cousy,Bob Cousy,Bob Cousy,Boston Celtics,1950-1963,PG,SG,92,Amethyst,89,68,98,68,70,82,97,88,Floor General;Tempo Control;Champion DNA,Tempo Showman,src/data/players.ts,393
carmelo-anthony-nuggets,Carmelo Anthony (Nuggets),Carmelo Anthony (Nuggets),Denver Nuggets,2003-2011,SF,PF,92,Amethyst,94,67,63,84,68,88,88,85,Shot Creator;Three-Level Scorer;Transition Force,Explosive Three-Level Scorer,src/data/players.ts,474
chris-paul-hornets,Chris Paul (Hornets),Chris Paul (Hornets),Charlotte Hornets,2005-2011,PG,,92,Amethyst,90,80,96,85,40,84,92,80,Floor General;Paint Pressure;Point-of-Attack,Explosive Pick-and-Roll Engine,src/data/players.ts,414
dave-bing-pistons,Dave Bing (Pistons),Dave Bing (Pistons),Detroit Pistons,Team-specific historical variant,PG,SG,92,Amethyst,,,,,,,,,,,src/data/players.ts,742
dave-debusschere-knicks,Dave DeBusschere (Knicks),Dave DeBusschere (Knicks),New York Knicks,Team-specific historical variant,PF,SF,92,Amethyst,,,,,,,,,,,src/data/players.ts,743
donovan-mitchell-2025-26,Donovan Mitchell (2025-26),Donovan Mitchell (2025-26),Cleveland Cavaliers,2025-26,SG,,92,Amethyst,91,84,90,90,82,88,91,94,Elite Shooter;Floor General;Three-Level Scorer,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,228
hal-greer-76ers,Hal Greer (76ers),Hal Greer (76ers),Philadelphia 76ers,Team-specific historical variant,SG,PG,92,Amethyst,,,,,,,,,,,src/data/players.ts,744
jalen-johnson-2025-26,Jalen Johnson (2025-26),Jalen Johnson (2025-26),Atlanta Hawks,2025-26,SF,,92,Amethyst,89,88,90,86,91,89,91,95,Floor General;Glass Cleaner;Wing Stopper,2025-26 Two-Way Wing,src/data/players-current-2026.ts,234
jaylen-brown-2025-26,Jaylen Brown (2025-26),Jaylen Brown (2025-26),Boston Celtics,2025-26,SF,,92,Amethyst,90,87,90,88,89,90,92,94,Floor General;Glass Cleaner;Wing Stopper,2025-26 Two-Way Wing,src/data/players-current-2026.ts,237
jimmy-butler,Jimmy Butler,Jimmy Butler,Miami Heat,2011-Present,SF,SG;PF,92,Amethyst,90,91,80,73,63,84,97,76,Clutch;Wing Stopper;Paint Pressure,Playoff Two-Way Alpha,src/data/players.ts,507
kawhi-leonard-2025-26,Kawhi Leonard (2025-26),Kawhi Leonard (2025-26),Los Angeles Clippers,2025-26,SF,,92,Amethyst,91,88,89,91,87,88,91,91,Elite Shooter;Floor General;Glass Cleaner,2025-26 Two-Way Wing,src/data/players-current-2026.ts,242
kevin-durant-nets,Kevin Durant (Nets),Kevin Durant (Nets),Brooklyn Nets,2020-2023,SF,PF,92,Amethyst,95,72,79,94,72,82,88,67,Three-Level Scorer;Shot Creator;Elite Shooter,Surgical Shotmaking Wing,src/data/players.ts,849
kevin-mchale,Kevin McHale,Kevin McHale,Boston Celtics,1980-1993,PF,C,92,Amethyst,92,88,50,68,84,70,94,76,Post Scorer;Rim Protector;Champion DNA,Post Savant Big,src/data/players.ts,377
kyrie-irving-celtics,Kyrie Irving (Celtics),Kyrie Irving (Celtics),Boston Celtics,2017-2019,PG,SG,92,Amethyst,95,50,89,92,41,89,83,64,Shot Creator;Three-Level Scorer;Clutch,Primary Shotmaking Engine,src/data/players.ts,852
nate-archibald,Nate Archibald,Nate Archibald,Sacramento Kings,1970-1984,PG,SG,92,Amethyst,92,58,96,80,33,90,91,77,Floor General;Transition Force;Shot Creator,Lightning Pace Creator,src/data/players.ts,552
pete-maravich,Pete Maravich,Pete Maravich,Utah Jazz,1970-1980,SG,PG,92,Amethyst,95,58,90,88,50,86,92,64,Shot Creator;Floor General;Clutch,Showman Scoring Creator,src/data/players.ts,424
ray-allen-sonics,Ray Allen (Sonics),Ray Allen (Sonics),Oklahoma City Thunder,2003-2007,SG,SF,92,Amethyst,93,64,66,93,48,86,85,86,Elite Shooter;Shot Creator;Transition Force,Explosive Scoring Shooter,src/data/players.ts,440
russell-westbrook,Russell Westbrook,Russell Westbrook,Oklahoma City Thunder,2008-Present,PG,SG,92,Amethyst,92,66,90,61,82,99,91,86,Athletic Freak;Transition Force;Rim Pressure,Relentless Rim Attacker,src/data/players.ts,434
shaquille-o-neal-heat,Shaquille O'Neal (Heat),Shaquille O'Neal (Heat),Miami Heat,2004-2008,C,,92,Amethyst,92,76,52,28,87,72,86,63,Interior Force;Paint Gravity;Champion DNA,Veteran Interior Force,src/data/players.ts,383
bob-lanier-pistons,Bob Lanier (Pistons),Bob Lanier (Pistons),Detroit Pistons,Team-specific historical variant,C,,91,Amethyst,,,,,,,,,,,src/data/players.ts,745
chet-holmgren-2025-26,Chet Holmgren (2025-26),Chet Holmgren (2025-26),Oklahoma City Thunder,2025-26,PF,,91,Amethyst,90,89,82,87,91,88,91,93,Glass Cleaner;Switchable Big;Three-Level Scorer,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,219
chris-paul-rockets,Chris Paul (Rockets),Chris Paul (Rockets),Houston Rockets,2017-2019,PG,,91,Amethyst,88,79,96,88,39,68,94,73,Floor General;Midrange Surgeon;Clutch,Veteran Control Guard,src/data/players.ts,416
cooper-flagg-2025-26,Cooper Flagg (2025-26),Cooper Flagg (2025-26),Dallas Mavericks,2025-26,SF,,91,Amethyst,86,88,88,80,88,89,88,94,Floor General;Glass Cleaner;Wing Stopper,2025-26 Two-Way Wing,src/data/players-current-2026.ts,221
damian-lillard,Damian Lillard,Damian Lillard,Portland Trail Blazers,2012-Present,PG,,91,Amethyst,95,48,89,94,40,79,93,80,Elite Shooter;Clutch;Shot Creator,Deep-Range Shot Creator,src/data/players.ts,465
devin-booker-2025-26,Devin Booker (2025-26),Devin Booker (2025-26),Phoenix Suns,2025-26,SG,,91,Amethyst,92,83,93,88,84,90,92,91,Floor General;Three-Level Scorer;Shot Creator,2025-26 Connector Creator,src/data/players-current-2026.ts,226
dominique-wilkins,Dominique Wilkins,Dominique Wilkins,Atlanta Hawks,1982-1999,SF,PF,91,Amethyst,93,62,57,69,71,96,85,88,Athletic Freak;Shot Creator;Transition Force,Explosion Wing Scorer,src/data/players.ts,428
donovan-mitchell,Donovan Mitchell,Donovan Mitchell,Utah Jazz,2017-Present,SG,PG,91,Amethyst,93,61,80,87,45,90,90,81,Shot Creator;Clutch;Paint Pressure,Explosive Scoring Guard,src/data/players.ts,555
gail-goodrich-lakers,Gail Goodrich (Lakers),Gail Goodrich (Lakers),Los Angeles Lakers,Team-specific historical variant,SG,PG,91,Amethyst,,,,,,,,,,,src/data/players.ts,746
george-gervin,George Gervin,George Gervin,San Antonio Spurs,1972-1986,SG,SF,91,Amethyst,94,63,63,82,56,87,84,85,Shot Creator;Clutch;Transition Force,Silky Bucket Getter,src/data/players.ts,425
george-mcginnis-pacers,George McGinnis (Pacers),George McGinnis (Pacers),Indiana Pacers,Team-specific historical variant,PF,SF,91,Amethyst,,,,,,,,,,,src/data/players.ts,747
grant-hill-pistons,Grant Hill (Pistons),Grant Hill (Pistons),Detroit Pistons,Team-specific historical variant,SF,PG,91,Amethyst,,,,,,,,,,,src/data/players.ts,748
jalen-brunson-2025-26,Jalen Brunson (2025-26),Jalen Brunson (2025-26),New York Knicks,2025-26,PG,,91,Amethyst,90,80,94,90,78,85,94,95,Elite Shooter;Floor General;Three-Level Scorer,2025-26 Offensive Engine,src/data/players-current-2026.ts,232
james-harden-nets,James Harden (Nets),James Harden (Nets),Brooklyn Nets,2021-2022,PG,SG,91,Amethyst,93,56,96,86,60,70,89,77,Floor General;Shot Creator;Connector,Tempo Control Playmaker,src/data/players.ts,432
jayson-tatum-2025-26,Jayson Tatum (2025-26),Jayson Tatum (2025-26),Boston Celtics,2025-26,PF,,91,Amethyst,86,85,88,86,86,84,86,75,Paint Pressure,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,369
kawhi-leonard-spurs,Kawhi Leonard (Spurs),Kawhi Leonard (Spurs),San Antonio Spurs,2011-2018,SF,SG;PF,91,Amethyst,87,97,70,82,71,88,91,66,Wing Stopper;Clutch;Transition Force,Young Two-Way Wing Stopper,src/data/players.ts,421
kevin-durant-2025-26,Kevin Durant (2025-26),Kevin Durant (2025-26),Houston Rockets,2025-26,SF,,91,Amethyst,93,84,89,94,84,88,92,97,Elite Shooter;Floor General;Wing Stopper,2025-26 Two-Way Wing,src/data/players-current-2026.ts,243
kyrie-irving-cavs,Kyrie Irving (Cavs),Kyrie Irving (Cavs),Cleveland Cavaliers,2011-2017,PG,SG,91,Amethyst,95,54,88,92,40,84,90,75,Shot Creator;Clutch;Elite Shooter,Complete Shotmaking Lead Guard,src/data/players.ts,490
kyrie-irving-nets,Kyrie Irving (Nets),Kyrie Irving (Nets),Brooklyn Nets,2019-2023,PG,SG,91,Amethyst,94,49,88,92,42,88,84,66,Shot Creator;Three-Level Scorer;Clutch,Handle-and-Shotmaking Virtuoso,src/data/players.ts,851
patrick-ewing,Patrick Ewing,Patrick Ewing,New York Knicks,1985-2002,C,,91,Amethyst,87,91,50,66,89,79,88,82,Rim Protector;Midrange Touch;Glass Cleaner,Two-Way Post Center,src/data/players.ts,435
sidney-moncrief,Sidney Moncrief,Sidney Moncrief,Milwaukee Bucks,1979-1991,SG,PG,91,Amethyst,88,95,72,73,52,88,93,82,Point-of-Attack;Clutch;Paint Pressure,Defensive Apex Guard,src/data/players.ts,713
spencer-haywood-supersonics,Spencer Haywood (SuperSonics),Spencer Haywood (SuperSonics),Oklahoma City Thunder,Team-specific historical variant,PF,C,91,Amethyst,,,,,,,,,,,src/data/players.ts,749
stephen-curry-2025-26,Stephen Curry (2025-26),Stephen Curry (2025-26),Golden State Warriors,2025-26,PG,,91,Amethyst,91,84,90,93,81,87,89,82,Elite Shooter;Floor General;Three-Level Scorer,2025-26 Offensive Engine,src/data/players-current-2026.ts,284
alperen-seng-n-2025-26,Alperen Sengün (2025-26),Alperen Sengün (2025-26),Houston Rockets,2025-26,C,,90,Ruby,88,87,89,78,90,87,89,95,Floor General;Glass Cleaner;Rim Protector,2025-26 Interior Anchor,src/data/players-current-2026.ts,210
bam-adebayo-2025-26,Bam Adebayo (2025-26),Bam Adebayo (2025-26),Miami Heat,2025-26,C,,90,Ruby,85,87,86,82,90,89,89,95,Floor General;Glass Cleaner;Rim Protector,2025-26 Interior Anchor,src/data/players-current-2026.ts,215
