csv_player_name,source_player_name,team,previous_ovr,final_decision_ovr,delta,changed,match_mode,source_file,source_line
Dwight Powell (2025-26),Dwight Powell (2025-26),Dallas Mavericks,79,76,-3,yes,exact,src/data/players-current-2026.ts,476
Gary Payton II (2025-26),Gary Payton II (2025-26),Golden State Warriors,80,77,-3,yes,exact,src/data/players-current-2026.ts,361
Gary Trent Jr. (2025-26),Gary Trent Jr. (2025-26),Milwaukee Bucks,81,78,-3,yes,exact,src/data/players-current-2026.ts,655
Goga Bitadze (2025-26),Goga Bitadze (2025-26),Orlando Magic,81,78,-3,yes,exact,src/data/players-current-2026.ts,362
Gradey Dick (2025-26),Gradey Dick (2025-26),Toronto Raptors,80,77,-3,yes,exact,src/data/players-current-2026.ts,597
Grant Williams (2025-26),Grant Williams (2025-26),Charlotte Hornets,81,78,-3,yes,exact,src/data/players-current-2026.ts,433
Guerschon Yabusele (2025-26),Guerschon Yabusele (2025-26),Chicago Bulls,80,77,-3,yes,exact,src/data/players-current-2026.ts,548
Haywood Highsmith (2025-26),Haywood Highsmith (2025-26),Phoenix Suns,80,77,-3,yes,exact,src/data/players-current-2026.ts,496
Hugo González (2025-26),Hugo González (2025-26),Boston Celtics,80,77,-3,yes,exact,src/data/players-current-2026.ts,530
Isaac Okoro (2025-26),Isaac Okoro (2025-26),Chicago Bulls,80,77,-3,yes,exact,src/data/players-current-2026.ts,497
Isaiah Jackson (2025-26),Isaiah Jackson (2025-26),Los Angeles Clippers,81,78,-3,yes,exact,src/data/players-current-2026.ts,413
Jabari Walker (2025-26),Jabari Walker (2025-26),Philadelphia 76ers,79,76,-3,yes,exact,src/data/players-current-2026.ts,563
Jaden Hardy (2025-26),Jaden Hardy (2025-26),Washington Wizards,79,76,-3,yes,exact,src/data/players-current-2026.ts,598
Jae'Sean Tate (2025-26),Jae'Sean Tate (2025-26),Houston Rockets,79,76,-3,yes,exact,src/data/players-current-2026.ts,648
Jamal Shead (2025-26),Jamal Shead (2025-26),Toronto Raptors,81,78,-3,yes,exact,src/data/players-current-2026.ts,531
Jamaree Bouyea (2025-26),Jamaree Bouyea (2025-26),Phoenix Suns,80,77,-3,yes,exact,src/data/players-current-2026.ts,532
James Wiseman (2025-26),James Wiseman (2025-26),Indiana Pacers,79,76,-3,yes,exact,src/data/players-current-2026.ts,650
Jamir Watkins (2025-26),Jamir Watkins (2025-26),Washington Wizards,79,76,-3,yes,exact,src/data/players-current-2026.ts,498
Jarace Walker (2025-26),Jarace Walker (2025-26),Indiana Pacers,81,78,-3,yes,exact,src/data/players-current-2026.ts,415
Jarred Vanderbilt (2025-26),Jarred Vanderbilt (2025-26),Los Angeles Lakers,80,77,-3,yes,exact,src/data/players-current-2026.ts,515
Jase Richardson (2025-26),Jase Richardson (2025-26),Orlando Magic,79,76,-3,yes,exact,src/data/players-current-2026.ts,600
Javonte Green (2025-26),Javonte Green (2025-26),Detroit Pistons,81,78,-3,yes,exact,src/data/players-current-2026.ts,366
Jaxson Hayes (2025-26),Jaxson Hayes (2025-26),Los Angeles Lakers,79,76,-3,yes,exact,src/data/players-current-2026.ts,367
Jay Huff (2025-26),Jay Huff (2025-26),Indiana Pacers,81,78,-3,yes,exact,src/data/players-current-2026.ts,341
Jaylin Williams (2025-26),Jaylin Williams (2025-26),Oklahoma City Thunder,81,78,-3,yes,exact,src/data/players-current-2026.ts,368
Jeremy Sochan (2025-26),Jeremy Sochan (2025-26),New York Knicks,80,77,-3,yes,exact,src/data/players-current-2026.ts,564
Jock Landale (2025-26),Jock Landale (2025-26),Atlanta Hawks,80,77,-3,yes,exact,src/data/players-current-2026.ts,342
John Konchar (2025-26),John Konchar (2025-26),Utah Jazz,79,76,-3,yes,exact,src/data/players-current-2026.ts,436
Johnny Furphy (2025-26),Johnny Furphy (2025-26),Indiana Pacers,79,76,-3,yes,exact,src/data/players-current-2026.ts,584
Jonas Valanciœnas (2025-26),Jonas Valanciœnas (2025-26),Denver Nuggets,81,78,-3,yes,exact,src/data/players-current-2026.ts,417
Jonathan Isaac (2025-26),Jonathan Isaac (2025-26),Orlando Magic,79,76,-3,yes,exact,src/data/players-current-2026.ts,613
Jonathan Mogbo (2025-26),Jonathan Mogbo (2025-26),Toronto Raptors,79,76,-3,yes,exact,src/data/players-current-2026.ts,585
Jordan Clarkson (2025-26),Jordan Clarkson (2025-26),New York Knicks,80,77,-3,yes,exact,src/data/players-current-2026.ts,549
Jordan Goodwin (2025-26),Jordan Goodwin (2025-26),Phoenix Suns,80,77,-3,yes,exact,src/data/players-current-2026.ts,343
Jordan Hawkins (2025-26),Jordan Hawkins (2025-26),New Orleans Pelicans,79,76,-3,yes,exact,src/data/players-current-2026.ts,674
Jordan Miller (2025-26),Jordan Miller (2025-26),Los Angeles Clippers,81,78,-3,yes,exact,src/data/players-current-2026.ts,391
Jordan Poole (2025-26),Jordan Poole (2025-26),New Orleans Pelicans,81,78,-3,yes,exact,src/data/players-current-2026.ts,517
Jordan Walsh (2025-26),Jordan Walsh (2025-26),Boston Celtics,80,77,-3,yes,exact,src/data/players-current-2026.ts,418
Josh Okogie (2025-26),Josh Okogie (2025-26),Houston Rockets,80,77,-3,yes,exact,src/data/players-current-2026.ts,518
Julian Strawther (2025-26),Julian Strawther (2025-26),Denver Nuggets,80,77,-3,yes,exact,src/data/players-current-2026.ts,536
Justin Champagnie (2025-26),Justin Champagnie (2025-26),Washington Wizards,80,77,-3,yes,exact,src/data/players-current-2026.ts,370
Justin Edwards (2025-26),Justin Edwards (2025-26),Philadelphia 76ers,80,77,-3,yes,exact,src/data/players-current-2026.ts,519
Kelly Olynyk (2025-26),Kelly Olynyk (2025-26),San Antonio Spurs,80,77,-3,yes,exact,src/data/players-current-2026.ts,550
Kenrich Williams (2025-26),Kenrich Williams (2025-26),Oklahoma City Thunder,79,76,-3,yes,exact,src/data/players-current-2026.ts,461
Kentavious Caldwell-Pope (2025-26),Kentavious Caldwell-Pope (2025-26),Memphis Grizzlies,79,76,-3,yes,exact,src/data/players-current-2026.ts,537
Keon Ellis (2025-26),Keon Ellis (2025-26),Cleveland Cavaliers,80,77,-3,yes,exact,src/data/players-current-2026.ts,462
Kevin Huerter (2025-26),Kevin Huerter (2025-26),Detroit Pistons,80,77,-3,yes,exact,src/data/players-current-2026.ts,393
Kevin Love (2025-26),Kevin Love (2025-26),Utah Jazz,81,78,-3,yes,exact,src/data/players-current-2026.ts,480
Kevon Looney (2025-26),Kevon Looney (2025-26),New Orleans Pelicans,79,76,-3,yes,exact,src/data/players-current-2026.ts,602
Khaman Maluach (2025-26),Khaman Maluach (2025-26),Phoenix Suns,80,77,-3,yes,exact,src/data/players-current-2026.ts,603
Khris Middleton (2025-26),Khris Middleton (2025-26),Dallas Mavericks,81,78,-3,yes,exact,src/data/players-current-2026.ts,500
Klay Thompson,Klay Thompson,Golden State Warriors,89,92,3,yes,exact,src/data/players.ts,463
Kris Dunn (2025-26),Kris Dunn (2025-26),Los Angeles Clippers,81,78,-3,yes,exact,src/data/players-current-2026.ts,394
Kyle Kuzma (2025-26),Kyle Kuzma (2025-26),Milwaukee Bucks,80,77,-3,yes,exact,src/data/players-current-2026.ts,371
Landry Shamet (2025-26),Landry Shamet (2025-26),New York Knicks,81,78,-3,yes,exact,src/data/players-current-2026.ts,463
Larry Nance Jr. (2025-26),Larry Nance Jr. (2025-26),Cleveland Cavaliers,79,76,-3,yes,exact,src/data/players-current-2026.ts,631
Leonard Miller (2025-26),Leonard Miller (2025-26),Chicago Bulls,80,77,-3,yes,exact,src/data/players-current-2026.ts,482
Lonzo Ball (2025-26),Lonzo Ball (2025-26),Cleveland Cavaliers,80,77,-3,yes,exact,src/data/players-current-2026.ts,552
Luke Kornet (2025-26),Luke Kornet (2025-26),San Antonio Spurs,81,78,-3,yes,exact,src/data/players-current-2026.ts,326
Malik Monk (2025-26),Malik Monk (2025-26),Sacramento Kings,81,78,-3,yes,exact,src/data/players-current-2026.ts,440
Marcus Sasser (2025-26),Marcus Sasser (2025-26),Detroit Pistons,80,77,-3,yes,exact,src/data/players-current-2026.ts,587
Marvin Bagley III (2025-26),Marvin Bagley III (2025-26),Dallas Mavericks,81,78,-3,yes,exact,src/data/players-current-2026.ts,327
Mason Plumlee (2025-26),Mason Plumlee (2025-26),San Antonio Spurs,79,76,-3,yes,exact,src/data/players-current-2026.ts,553
Matisse Thybulle (2025-26),Matisse Thybulle (2025-26),Portland Trail Blazers,80,77,-3,yes,exact,src/data/players-current-2026.ts,501
Maxime Raynaud (2025-26),Maxime Raynaud (2025-26),Sacramento Kings,81,78,-3,yes,exact,src/data/players-current-2026.ts,372
Micah Peavy (2025-26),Micah Peavy (2025-26),New Orleans Pelicans,79,76,-3,yes,exact,src/data/players-current-2026.ts,659
Mike Conley (2025-26),Mike Conley (2025-26),Minnesota Timberwolves,80,77,-3,yes,exact,src/data/players-current-2026.ts,568
Moritz Wagner (2025-26),Moritz Wagner (2025-26),Orlando Magic,81,78,-3,yes,exact,src/data/players-current-2026.ts,554
Mouhamed Gueye (2025-26),Mouhamed Gueye (2025-26),Atlanta Hawks,81,78,-3,yes,exact,src/data/players-current-2026.ts,502
Moussa Cisse (2025-26),Moussa Cisse (2025-26),Dallas Mavericks,80,77,-3,yes,exact,src/data/players-current-2026.ts,538
Nae'Qwan Tomlin (2025-26),Nae'Qwan Tomlin (2025-26),Cleveland Cavaliers,80,77,-3,yes,exact,src/data/players-current-2026.ts,523
Nick Richards (2025-26),Nick Richards (2025-26),Chicago Bulls,81,78,-3,yes,exact,src/data/players-current-2026.ts,588
Nikola Jovic (2025-26),Nikola Jovic (2025-26),Miami Heat,81,78,-3,yes,exact,src/data/players-current-2026.ts,555
Nikola Topic (2025-26),Nikola Topic (2025-26),Oklahoma City Thunder,79,76,-3,yes,exact,src/data/players-current-2026.ts,633
Nique Clifford (2025-26),Nique Clifford (2025-26),Sacramento Kings,81,78,-3,yes,exact,src/data/players-current-2026.ts,556
Noah Penda (2025-26),Noah Penda (2025-26),Orlando Magic,81,78,-3,yes,exact,src/data/players-current-2026.ts,569
Nolan Traore (2025-26),Nolan Traoré (2025-26),Brooklyn Nets,81,78,-3,yes,accent-normalized,src/data/players-current-2026.ts,589
Ochai Agbaji (2025-26),Ochai Agbaji (2025-26),Brooklyn Nets,80,77,-3,yes,exact,src/data/players-current-2026.ts,634
Olivier-Maxence Prosper (2025-26),Olivier-Maxence Prosper (2025-26),Memphis Grizzlies,80,77,-3,yes,exact,src/data/players-current-2026.ts,397
Ousmane Dieng (2025-26),Ousmane Dieng (2025-26),Milwaukee Bucks,80,77,-3,yes,exact,src/data/players-current-2026.ts,571
Pat Spencer (2025-26),Pat Spencer (2025-26),Golden State Warriors,80,77,-3,yes,exact,src/data/players-current-2026.ts,524
Patrick Williams (2025-26),Patrick Williams (2025-26),Chicago Bulls,79,76,-3,yes,exact,src/data/players-current-2026.ts,605
Pelle Larsson (2025-26),Pelle Larsson (2025-26),Miami Heat,80,77,-3,yes,exact,src/data/players-current-2026.ts,374
Quinten Post (2025-26),Quinten Post (2025-26),Golden State Warriors,81,78,-3,yes,exact,src/data/players-current-2026.ts,441
Rasheer Fleming (2025-26),Rasheer Fleming (2025-26),Phoenix Suns,79,76,-3,yes,exact,src/data/players-current-2026.ts,635
Reggie Miller,Reggie Miller,Indiana Pacers,89,92,3,yes,exact,src/data/players.ts,439
Rob Dillingham (2025-26),Rob Dillingham (2025-26),Chicago Bulls,80,77,-3,yes,exact,src/data/players-current-2026.ts,636
Ron Harper Jr. (2025-26),Ron Harper Jr. (2025-26),Boston Celtics,79,76,-3,yes,exact,src/data/players-current-2026.ts,572
Ron Holland (2025-26),Ron Holland (2025-26),Detroit Pistons,81,78,-3,yes,exact,src/data/players-current-2026.ts,442
Ryan Kalkbrenner (2025-26),Ryan Kalkbrenner (2025-26),Charlotte Hornets,81,78,-3,yes,exact,src/data/players-current-2026.ts,376
Ryan Nembhard (2025-26),Ryan Nembhard (2025-26),Dallas Mavericks,81,78,-3,yes,exact,src/data/players-current-2026.ts,637
Scotty Pippen Jr. (2025-26),Scotty Pippen Jr. (2025-26),Memphis Grizzlies,81,78,-3,yes,exact,src/data/players-current-2026.ts,525
Simone Fontecchio (2025-26),Simone Fontecchio (2025-26),Miami Heat,81,78,-3,yes,exact,src/data/players-current-2026.ts,423
Sion James (2025-26),Sion James (2025-26),Charlotte Hornets,81,78,-3,yes,exact,src/data/players-current-2026.ts,526
Spencer Jones (2025-26),Spencer Jones (2025-26),Denver Nuggets,79,76,-3,yes,exact,src/data/players-current-2026.ts,467
T.J. McConnell (2025-26),T.J. McConnell (2025-26),Indiana Pacers,81,78,-3,yes,exact,src/data/players-current-2026.ts,424
Taylor Hendricks (2025-26),Taylor Hendricks (2025-26),Memphis Grizzlies,82,79,-3,yes,exact,src/data/players-current-2026.ts,504
Terance Mann (2025-26),Terance Mann (2025-26),Brooklyn Nets,80,77,-3,yes,exact,src/data/players-current-2026.ts,505
Terrence Shannon Jr. (2025-26),Terrence Shannon Jr. (2025-26),Minnesota Timberwolves,79,76,-3,yes,exact,src/data/players-current-2026.ts,617
Tidjane Salaun (2025-26),Tidjane Salaün (2025-26),Charlotte Hornets,81,78,-3,yes,accent-normalized,src/data/players-current-2026.ts,506
Trayce Jackson-Davis (2025-26),Trayce Jackson-Davis (2025-26),Toronto Raptors,79,76,-3,yes,exact,src/data/players-current-2026.ts,507
Tre Mann (2025-26),Tre Mann (2025-26),Charlotte Hornets,79,76,-3,yes,exact,src/data/players-current-2026.ts,639
Trendon Watford (2025-26),Trendon Watford (2025-26),Philadelphia 76ers,80,77,-3,yes,exact,src/data/players-current-2026.ts,508
Tristan Da Silva (2025-26),Tristan Da Silva (2025-26),Orlando Magic,81,78,-3,yes,exact,src/data/players-current-2026.ts,379
Tristan Vukcevic (2025-26),Tristan Vukcevic (2025-26),Washington Wizards,82,79,-3,yes,exact,src/data/players-current-2026.ts,444
Ty Jerome (2025-26),Ty Jerome (2025-26),Memphis Grizzlies,82,79,-3,yes,exact,src/data/players-current-2026.ts,401
Tyler Kolek (2025-26),Tyler Kolek (2025-26),New York Knicks,79,76,-3,yes,exact,src/data/players-current-2026.ts,573
Tyrese Martin (2025-26),Tyrese Martin (2025-26),Philadelphia 76ers,79,76,-3,yes,exact,src/data/players-current-2026.ts,618
Tyrese Proctor (2025-26),Tyrese Proctor (2025-26),Cleveland Cavaliers,79,76,-3,yes,exact,src/data/players-current-2026.ts,606
Vince Williams Jr. (2025-26),Vince Williams Jr. (2025-26),Utah Jazz,80,77,-3,yes,exact,src/data/players-current-2026.ts,509
Vit Krecji (2025-26),Vít Krejcí (2025-26),Portland Trail Blazers,81,78,-3,yes,fuzzy-name-distance-2,src/data/players-current-2026.ts,445
Walter Clayton (2025-26),Walter Clayton (2025-26),Memphis Grizzlies,80,77,-3,yes,exact,src/data/players-current-2026.ts,574
Will Richard (2025-26),Will Richard (2025-26),Golden State Warriors,81,78,-3,yes,exact,src/data/players-current-2026.ts,488
Will Riley (2025-26),Will Riley (2025-26),Washington Wizards,80,77,-3,yes,exact,src/data/players-current-2026.ts,528
Yanic Konan Niederhäuser (2025-26),Yanic Konan Niederhäuser (2025-26),Los Angeles Clippers,81,78,-3,yes,exact,src/data/players-current-2026.ts,545
Yves Missi (2025-26),Yves Missi (2025-26),New Orleans Pelicans,81,78,-3,yes,exact,src/data/players-current-2026.ts,489
Zaccharie Risacher (2025-26),Zaccharie Risacher (2025-26),Atlanta Hawks,81,78,-3,yes,exact,src/data/players-current-2026.ts,446
Zach Collins (2025-26),Zach Collins (2025-26),Chicago Bulls,81,78,-3,yes,exact,src/data/players-current-2026.ts,469
Ziaire Williams (2025-26),Ziaire Williams (2025-26),Brooklyn Nets,82,79,-3,yes,exact,src/data/players-current-2026.ts,448
Ace Bailey (2025-26),Ace Bailey (2025-26),Utah Jazz,85,83,-2,yes,exact,src/data/players-current-2026.ts,427
Adou Thiero (2025-26),Adou Thiero (2025-26),Los Angeles Lakers,77,75,-2,yes,exact,src/data/players-current-2026.ts,622
Amari Williams (2025-26),Amari Williams (2025-26),Boston Celtics,77,75,-2,yes,exact,src/data/players-current-2026.ts,623
Andre Drummond (2025-26),Andre Drummond (2025-26),Philadelphia 76ers,82,80,-2,yes,exact,src/data/players-current-2026.ts,428
Ariel Hukporti (2025-26),Ariel Hukporti (2025-26),New York Knicks,77,75,-2,yes,exact,src/data/players-current-2026.ts,558
Baylor Scheierman (2025-26),Baylor Scheierman (2025-26),Boston Celtics,81,79,-2,yes,exact,src/data/players-current-2026.ts,404
Ben Wallace,Ben Wallace,Detroit Pistons,86,88,2,yes,exact,src/data/players.ts,495
Bismack Biyombo (2025-26),Bismack Biyombo (2025-26),San Antonio Spurs,77,75,-2,yes,exact,src/data/players-current-2026.ts,642
Blake Wesley (2025-26),Blake Wesley (2025-26),Portland Trail Blazers,77,75,-2,yes,exact,src/data/players-current-2026.ts,609
Bobi Klintman (2025-26),Bobi Klintman (2025-26),Detroit Pistons,77,75,-2,yes,exact,src/data/players-current-2026.ts,666
Bronny James (2025-26),Bronny James (2025-26),Los Angeles Lakers,77,75,-2,yes,exact,src/data/players-current-2026.ts,653
Brooks Barnhizer (2025-26),Brooks Barnhizer (2025-26),Oklahoma City Thunder,77,75,-2,yes,exact,src/data/players-current-2026.ts,667
Bruce Bowen,Bruce Bowen,San Antonio Spurs,81,83,2,yes,exact,src/data/players.ts,607
Bruce Brown (2025-26),Bruce Brown (2025-26),Denver Nuggets,82,80,-2,yes,exact,src/data/players-current-2026.ts,429
Bub Carrington (2025-26),Bub Carrington (2025-26),Washington Wizards,82,80,-2,yes,exact,src/data/players-current-2026.ts,491
Buck Williams (Nets),Buck Williams (Nets),Brooklyn Nets,89,87,-2,yes,exact,src/data/players.ts,754
Cam Thomas (2025-26),Cam Thomas (2025-26),Milwaukee Bucks,82,80,-2,yes,exact,src/data/players-current-2026.ts,577
Cedric Coward (2025-26),Cedric Coward (2025-26),Memphis Grizzlies,85,83,-2,yes,exact,src/data/players-current-2026.ts,315
Chaz Lanier (2025-26),Chaz Lanier (2025-26),Detroit Pistons,77,75,-2,yes,exact,src/data/players-current-2026.ts,679
Christian Koloko (2025-26),Christian Koloko (2025-26),Atlanta Hawks,77,75,-2,yes,exact,src/data/players-current-2026.ts,643
Daniel Gibson,Daniel Gibson,Cleveland Cavaliers,77,75,-2,yes,exact,src/data/players.ts,641
Danny Wolf (2025-26),Danny Wolf (2025-26),Brooklyn Nets,82,80,-2,yes,exact,src/data/players-current-2026.ts,453
Dario Saric (2025-26),Dario Šaric (2025-26),Sacramento Kings,77,75,-2,yes,accent-normalized,src/data/players-current-2026.ts,680
Dariq Whitehead (2025-26),Dariq Whitehead (2025-26),Memphis Grizzlies,77,75,-2,yes,exact,src/data/players-current-2026.ts,594
DaRon Holmes (2025-26),DaRon Holmes (2025-26),Denver Nuggets,77,75,-2,yes,exact,src/data/players-current-2026.ts,561
David Roddy (2025-26),David Roddy (2025-26),Denver Nuggets,77,75,-2,yes,exact,src/data/players-current-2026.ts,493
Day'Ron Sharpe (2025-26),Day'Ron Sharpe (2025-26),Brooklyn Nets,82,80,-2,yes,exact,src/data/players-current-2026.ts,317
De'Aaron Fox (Kings),De'Aaron Fox (Kings),Sacramento Kings,89,87,-2,yes,exact,src/data/players.ts,859
Dereck Lively II (2025-26),Dereck Lively II (2025-26),Dallas Mavericks,82,80,-2,yes,exact,src/data/players-current-2026.ts,495
Dominick Barlow (2025-26),Dominick Barlow (2025-26),Philadelphia 76ers,82,80,-2,yes,exact,src/data/players-current-2026.ts,386
Doug McDermott (2025-26),Doug McDermott (2025-26),Sacramento Kings,77,75,-2,yes,exact,src/data/players-current-2026.ts,647
Draymond Green,Draymond Green,Golden State Warriors,89,91,2,yes,exact,src/data/players.ts,462
Dwight Howard,Dwight Howard,Orlando Magic,90,92,2,yes,exact,src/data/players.ts,450
Dylan Cardwell (2025-26),Dylan Cardwell (2025-26),Sacramento Kings,82,80,-2,yes,exact,src/data/players-current-2026.ts,456
Egor Demin (2025-26),Egor Dёmin (2025-26),Brooklyn Nets,85,83,-2,yes,fuzzy-name-distance-1,src/data/players-current-2026.ts,432
Eric Gordon (2025-26),Eric Gordon (2025-26),Philadelphia 76ers,77,75,-2,yes,exact,src/data/players-current-2026.ts,547
Gary Harris (2025-26),Gary Harris (2025-26),Milwaukee Bucks,77,75,-2,yes,exact,src/data/players-current-2026.ts,612
GG Jackson II (2025-26),GG Jackson II (2025-26),Memphis Grizzlies,82,80,-2,yes,exact,src/data/players-current-2026.ts,388
Greg Oden,Greg Oden,Portland Trail Blazers,77,75,-2,yes,exact,src/data/players.ts,696
Gui Santos (2025-26),Gui Santos (2025-26),Golden State Warriors,82,80,-2,yes,exact,src/data/players-current-2026.ts,337
Harrison Ingram (2025-26),Harrison Ingram (2025-26),San Antonio Spurs,77,75,-2,yes,exact,src/data/players-current-2026.ts,625
Isaac Jones (2025-26),Isaac Jones (2025-26),Detroit Pistons,77,75,-2,yes,exact,src/data/players-current-2026.ts,672
Isaiah Collier (2025-26),Isaiah Collier (2025-26),Utah Jazz,82,80,-2,yes,exact,src/data/players-current-2026.ts,434
Isaiah Stevens (2025-26),Isaiah Stevens (2025-26),Sacramento Kings,77,75,-2,yes,exact,src/data/players-current-2026.ts,582
Jaden Ivey (2025-26),Jaden Ivey (2025-26),Chicago Bulls,82,80,-2,yes,exact,src/data/players-current-2026.ts,458
Jake LaRavia (2025-26),Jake LaRavia (2025-26),Los Angeles Lakers,83,81,-2,yes,exact,src/data/players-current-2026.ts,365
Jakob Poeltl (2025-26),Jakob Poeltl (2025-26),Toronto Raptors,83,81,-2,yes,exact,src/data/players-current-2026.ts,339
Jalen Smith (2025-26),Jalen Smith (2025-26),Chicago Bulls,82,80,-2,yes,exact,src/data/players-current-2026.ts,389
Jalen Williams (2025-26),Jalen Williams (2025-26),Oklahoma City Thunder,89,87,-2,yes,exact,src/data/players-current-2026.ts,340
Jared McCain (2025-26),Jared McCain (2025-26),Oklahoma City Thunder,82,80,-2,yes,exact,src/data/players-current-2026.ts,533
Jaren Jackson Jr. (2025-26),Jaren Jackson Jr. (2025-26),Utah Jazz,90,88,-2,yes,exact,src/data/players-current-2026.ts,325
Jaylen Clark (2025-26),Jaylen Clark (2025-26),Minnesota Timberwolves,77,75,-2,yes,exact,src/data/players-current-2026.ts,601
Jaylen Wells (2025-26),Jaylen Wells (2025-26),Memphis Grizzlies,83,81,-2,yes,exact,src/data/players-current-2026.ts,459
JD Davison (2025-26),JD Davison (2025-26),Houston Rockets,77,75,-2,yes,exact,src/data/players-current-2026.ts,627
Joel Embiid (2025-26),Joel Embiid (2025-26),Philadelphia 76ers,89,87,-2,yes,exact,src/data/players-current-2026.ts,271
