id,player_name,canonical_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,proposed_ovr,delta,current_tier,proposed_tier,internal_score,peak_ability,career_achievement,longevity,playoff_performance,awards_honors,historical_impact,badges,archetype,model_source,confidence,evidence_level,nearest_anchor_above_or_equal,nearest_anchor_below_or_equal,manual_review,manual_review_reason,reasoning,source_file,source_line
david-robinson,David Robinson,David Robinson,David Robinson,San Antonio Spurs,1989-2003,C,PF,94,96,2,Amethyst,Galaxy,94.6,97,95,91,91,96,92,Rim Protector;Athletic Freak;Roll Threat,Mobile Defensive Anchor,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Amethyst to Galaxy.,Robinson anchor: MVP/DPOY two-way peak and elite regular-season impact.,src/data/players.ts,411
kevin-durant-thunder,Kevin Durant (Thunder),Kevin Durant,Kevin Durant (Thunder),Oklahoma City Thunder,2007-2016,SF,SG;PF,96,96,0,Galaxy,Galaxy,93.4,97,94,86,91,94,92,Three-Level Scorer;Shot Creator;Transition Force,Explosive Scoring Unicorn,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Thunder Durant has the explosive scoring peak but less complete title-era context.,src/data/players.ts,389
giannis-antetokounmpo-2025-26,Giannis Antetokounmpo (2025-26),Giannis Antetokounmpo,Giannis Antetokounmpo (2025-26),Milwaukee Bucks,2025-26,PF,,95,96,1,Amethyst,Galaxy,93.3,97,93,84,94,94,93,Floor General;Glass Cleaner;Switchable Big,2025-26 Frontcourt Enforcer,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Tier change: Amethyst to Galaxy.,Giannis anchor: MVP/DPOY-level two-way peak with title equity and active-career longevity still growing.,src/data/players-current-2026.ts,207
nikola-jokic-2025-26,Nikola Jokic (2025-26),Nikola Jokic,Nikola Jokic (2025-26),Denver Nuggets,2025-26,C,,97,96,-1,Galaxy,Galaxy,93.1,98,93,80,96,93,93,Elite Shooter;Floor General;Glass Cleaner,2025-26 Interior Anchor,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation.,Current Jokic remains an MVP-level all-time offensive engine; active-season evidence should still be reviewed.,src/data/players-current-2026.ts,205
lebron-james-03-10,LeBron James ('03 - '10),LeBron James,LeBron James ('03 - '10),Cleveland Cavaliers,2003-2010,SF,SG;PG,96,96,0,Galaxy,Galaxy,92.6,98,92,82,90,92,97,Transition Force;Paint Pressure;Point Forward,Explosive Point Wing,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"First Cleveland LeBron has overwhelming peak athletic force, with career/playoff resume still below later versions.",src/data/players.ts,370
nikola-jokic-2023,Nikola Jokic (2023),Nikola Jokic,Nikola Jokic (2023),Denver Nuggets,2022-2023,C,PF,98,96,-2,Galaxy,Galaxy,92.5,98,92,78,96,92,93,Floor General;Elite Shooter;Glass Cleaner,Championship Offensive Hub,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"2023 Jokic anchor: historic offensive peak and title run, with longevity still below older legends.",src/data/players.ts,391
shaquille-o-neal-magic,Shaquille O'Neal (Magic),Shaquille O'Neal,Shaquille O'Neal (Magic),Orlando Magic,1992-1996,C,,96,96,0,Galaxy,Galaxy,89.2,97,87,78,88,86,89,Interior Force;Transition Force;Paint Gravity,Open-Floor Super Center,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Magic Shaq is an elite young peak, but below the Lakers title-prime version.",src/data/players.ts,381
karl-malone,Karl Malone,Karl Malone,Karl Malone,Utah Jazz,1985-2004,PF,C,94,95,1,Amethyst,Amethyst,95.5,95,98,98,88,97,90,Iron Man;Pick-and-Roll Threat;Transition Force,Power Finisher,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Malone anchor: massive regular-season achievement and longevity, moderated by playoff ceiling.",src/data/players.ts,410
kevin-garnett-timberwolves,Kevin Garnett (Timberwolves),Kevin Garnett,Kevin Garnett (Timberwolves),Minnesota Timberwolves,1995-2007,PF,C,96,95,-1,Galaxy,Amethyst,94.1,96,94,94,88,94,94,Switchable Big;Rim Protector;Connector,All-Around Swiss Army Big,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Galaxy to Amethyst.,Timberwolves KG anchor: MVP-level two-way peak with less playoff payoff than higher anchors.,src/data/players.ts,402
charles-barkley-suns,Charles Barkley (Suns),Charles Barkley,Charles Barkley (Suns),Phoenix Suns,1992-1996,PF,SF,95,95,0,Amethyst,Amethyst,93.7,96,94,90,91,94,92,Transition Force;Glass Cleaner;Paint Pressure,MVP Undersized Force,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Suns Barkley anchor: MVP peak and elite offensive/rebounding dominance.,src/data/players.ts,406
allen-iverson-76ers,Allen Iverson (76ers),Allen Iverson,Allen Iverson (76ers),Philadelphia 76ers,1996-2006,SG,PG,94,95,1,Amethyst,Amethyst,93.4,96,94,87,91,94,96,Shot Creator;Paint Pressure;Clutch,Apex Volume Pressure Scorer,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Iverson anchor: MVP peak, cultural impact, scoring pressure, and Finals run.",src/data/players.ts,418
dwayne-wade-03-10,Dwayne Wade ('03 - '10),Dwayne Wade,Dwayne Wade ('03 - '10),Miami Heat,2003-2010,SG,PG,96,95,-1,Galaxy,Amethyst,93.4,97,93,84,97,93,92,Transition Force;Perimeter Stopper;Clutch,Explosive Two-Way Slasher,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Galaxy to Amethyst.,"Prime Wade anchor: elite peak and playoff carry, with longevity below Kobe/LeBron tier.",src/data/players.ts,407
steve-nash,Steve Nash,Steve Nash,Steve Nash,Phoenix Suns,1996-2015,PG,,93,95,2,Amethyst,Amethyst,93.2,95,94,90,87,95,94,Elite Shooter;Floor General;Tempo Control,Offensive Conductor,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Nash anchor: two-time MVP offensive engine with transformational spacing and efficiency.,src/data/players.ts,420
luka-doncic-2025-26,Luka Doncic (2025-26),Luka Doncic,Luka Doncic (2025-26),Los Angeles Lakers,2025-26,PG,,95,95,0,Amethyst,Amethyst,93.1,97.4,90.7,89.7,91.9,90.4,93.4,Elite Shooter;Floor General;Wing Stopper,2025-26 Offensive Engine,active-card-anchor,medium,curated active-era anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation.,Active/current card anchor set to 95; needs final stat-source validation before merge.,src/data/players-current-2026.ts,208
kawhi-leonard-raptors,Kawhi Leonard (Raptors),Kawhi Leonard,Kawhi Leonard (Raptors),Toronto Raptors,2018-2019,SF,SG;PF,93,95,2,Amethyst,Amethyst,89.8,96,88,72,98,91,90,Wing Stopper;Clutch;Midrange Assassin,Championship Two-Way Wing,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Raptors Kawhi anchor: title-run peak and playoff elevation, with limited longevity.",src/data/players.ts,422
john-havlicek,John Havlicek,John Havlicek,John Havlicek,Boston Celtics,1962-1978,SF,SG,93,94,1,Amethyst,Amethyst,94.9,94,96,94,96,96,94,Wing Stopper;Champion DNA;Motor,Endless-Motor Two-Way Wing,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Havlicek anchor: championship two-way wing with elite longevity and playoff value.,src/data/players.ts,397
john-stockton,John Stockton,John Stockton,John Stockton,Utah Jazz,1984-2003,PG,,93,94,1,Amethyst,Amethyst,94.2,92,97,100,87,95,92,Floor General;Elite Shooter;Iron Man,Control Tower Guard,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Stockton anchor: all-time longevity and creation efficiency, below higher peak engines.",src/data/players.ts,413
scottie-pippen,Scottie Pippen,Scottie Pippen,Scottie Pippen,Chicago Bulls,1987-2004,SF,PG;PF,94,94,0,Amethyst,Amethyst,94.1,94,95,92,94,95,94,Wing Stopper;Connector;Point Forward,Point Wing Stopper,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Pippen anchor: elite two-way second star, portability, titles, and defensive impact.",src/data/players.ts,409
shai-gilgeous-alexander-2025-26,Shai Gilgeous-Alexander (2025-26),Shai Gilgeous-Alexander,Shai Gilgeous-Alexander (2025-26),Oklahoma City Thunder,2025-26,PG,,96,94,-2,Galaxy,Amethyst,94.1,98.4,91.7,90.7,92.9,91.4,94.4,Elite Shooter;Floor General;Wing Stopper,2025-26 Offensive Engine,active-card-anchor,medium,curated active-era anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Tier change: Galaxy to Amethyst.,Active/current card anchor set to 94; needs final stat-source validation before merge.,src/data/players-current-2026.ts,206
george-mikan,George Mikan,George Mikan,George Mikan,Los Angeles Lakers,1946-1956,C,,94,94,0,Amethyst,Amethyst,93.7,96,94,88,91,94,98,Interior Force;Glass Cleaner;Champion DNA,Foundational Power Center,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Mikan anchor: early-era dominant big and foundational historical force, era-adjusted below later inner-circle anchors.",src/data/players.ts,396
isiah-thomas,Isiah Thomas,Isiah Thomas,Isiah Thomas,Detroit Pistons,1981-1994,PG,SG,93,94,1,Amethyst,Amethyst,93.3,94,94,88,96,94,93,Floor General;Clutch;Paint Touch,Competitive Lead Guard,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Isiah anchor: title lead guard, playoff elevation, and Bad Boys era impact.",src/data/players.ts,412
elgin-baylor,Elgin Baylor,Elgin Baylor,Elgin Baylor,Los Angeles Lakers,1958-1971,SF,PF,93,94,1,Amethyst,Amethyst,92.9,95,94,88,88,94,94,Athletic Freak;Three-Level Scorer;Glass From Wing,Aerial Scoring Wing,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Baylor anchor: era-dominant wing scorer and rebounder with elite historical stature.,src/data/players.ts,423
chris-paul-clippers,Chris Paul (Clippers),Chris Paul,Chris Paul (Clippers),Los Angeles Clippers,2011-2017,PG,,95,94,-1,Amethyst,Amethyst,92.8,94,94,91,88,94,91,Floor General;Midrange Surgeon;Point-of-Attack,Complete Floor General,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Clippers Paul anchor: elite point guard peak and regular-season impact, playoff ceiling moderated.",src/data/players.ts,415
patrick-ewing,Patrick Ewing,Patrick Ewing,Patrick Ewing,New York Knicks,1985-2002,C,,91,94,3,Amethyst,Amethyst,92.6,94,93,91,90,93,90,Rim Protector;Midrange Touch;Glass Cleaner,Two-Way Post Center,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Ewing anchor: franchise-center peak and longevity below the very top bigs.,src/data/players.ts,435
julius-erving-nets,Julius Erving (Nets),Julius Erving,Julius Erving (Nets),Brooklyn Nets,Team-specific historical variant,SF,SG,93,94,1,Amethyst,Amethyst,91.9,96,91,84,91,91,96,,,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Nets Dr. J is a spectacular version, but separated from the full-career 76ers anchor.",src/data/players.ts,738
charles-barkley-76ers,Charles Barkley (76ers),Charles Barkley,Charles Barkley (76ers),Philadelphia 76ers,1984-1992,PF,SF,93,94,1,Amethyst,Amethyst,90.6,95,91,83,86,91,90,Transition Force;Glass Cleaner;Paint Pressure,Explosive Undersized Force,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,76ers Barkley is a younger explosive version below the MVP Suns peak.,src/data/players.ts,405
chris-paul-hornets,Chris Paul (Hornets),Chris Paul,Chris Paul (Hornets),Charlotte Hornets,2005-2011,PG,,92,94,2,Amethyst,Amethyst,90.3,95,91,80,87,91,90,Floor General;Paint Pressure;Point-of-Attack,Explosive Pick-and-Roll Engine,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Hornets Paul is his most explosive creator version, near the Clippers anchor.",src/data/players.ts,414
bob-cousy,Bob Cousy,Bob Cousy,Bob Cousy,Boston Celtics,1950-1963,PG,SG,92,93,1,Amethyst,Amethyst,93.9,93,96,91,93,96,96,Floor General;Tempo Control;Champion DNA,Tempo Showman,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Cousy anchor: era-defining lead guard, awards, titles, and playmaking influence.",src/data/players.ts,393
elvin-hayes-bullets,Elvin Hayes (Bullets),Elvin Hayes,Elvin Hayes (Bullets),Washington Wizards,Team-specific historical variant,PF,C,95,93,-2,Amethyst,Amethyst,93.3,92,95,96,89,95,90,,,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Hayes anchor: elite longevity, title frontcourt value, and major statistical resume.",src/data/players.ts,735
jason-kidd,Jason Kidd,Jason Kidd,Jason Kidd,Brooklyn Nets,1994-2013,PG,SG,93,93,0,Amethyst,Amethyst,93,92,94,95,91,94,91,Floor General;Point-of-Attack;Triple-Double Machine,Defensive Hall-of-Fame Table Setter,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Kidd anchor: elite two-way floor general, longevity, and title-era portability.",src/data/players.ts,505
ray-allen-sonics,Ray Allen (Sonics),Ray Allen,Ray Allen (Sonics),Oklahoma City Thunder,2003-2007,SG,SF,92,93,1,Amethyst,Amethyst,92.9,93,93,93,91,93,94,Elite Shooter;Shot Creator;Transition Force,Explosive Scoring Shooter,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Ray Allen anchor: elite shooting star, longevity, and later title portability.",src/data/players.ts,440
reggie-miller,Reggie Miller,Reggie Miller,Reggie Miller,Indiana Pacers,1987-2005,SG,SF,89,93,4,Ruby,Amethyst,92.7,92,92,94,94,92,95,Elite Shooter;Off-Ball Gravity;Clutch,Movement Sniper,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Large proposed OVR delta. | Tier change: Ruby to Amethyst.,"Reggie anchor: playoff shotmaking, off-ball gravity, durability, and era-shaping movement shooting.",src/data/players.ts,439
dolph-schayes-nationals,Dolph Schayes (Nationals),Dolph Schayes,Dolph Schayes (Nationals),Philadelphia 76ers,Team-specific historical variant,PF,C,94,93,-1,Amethyst,Amethyst,92.6,93,94,92,88,94,92,,,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Schayes anchor: early-era star with strong honors, longevity, and shooting-forward impact.",src/data/players.ts,736
clyde-drexler-blazers,Clyde Drexler (Blazers),Clyde Drexler,Clyde Drexler (Blazers),Portland Trail Blazers,1983-1995,SG,SF,93,93,0,Amethyst,Amethyst,92.4,94,93,89,91,93,90,Transition Force;Athletic Freak;Slasher,Open-Court Wing,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Drexler anchor: Hall-of-Fame wing peak and Finals-level star value.,src/data/players.ts,426
derrick-rose,Derrick Rose,Derrick Rose,Derrick Rose,Chicago Bulls,2008-2024,PG,SG,93,93,0,Amethyst,Amethyst,91.7,94.3,90.5,89.5,90.8,90.2,90.1,Athletic Freak;Paint Pressure;Shot Creator,MVP Slashing Lead Guard,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,509
vince-carter-raptors,Vince Carter (Raptors),Vince Carter,Vince Carter (Raptors),Toronto Raptors,1998-2004,SG,SF,93,93,0,Amethyst,Amethyst,91.7,94.3,90.5,89.5,90.8,90.2,90.1,Athletic Freak;Shot Creator;Transition Force,Explosive Scoring Wing,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,445
dwayne-wade-10-14,Dwayne Wade ('10 - '14),Dwayne Wade,Dwayne Wade ('10 - '14),Miami Heat,2010-2014,SG,PG,93,93,0,Amethyst,Amethyst,91.5,92,94,83,94,94,91,Clutch;Connector;Perimeter Stopper,Big 3 Two-Way Co-Star,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Heatles Wade remains an elite title co-star, below the 2006-09 peak version.",src/data/players.ts,408
